rank,name,link,img_link,Studios,Source,Genres,Popularity,Favorites,type,date,members,score,Watching,Completed,On-Hold,Dropped,Plan_to_Watch,Total,eps,Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen,Thriller,Sci-Fi,Historical,Parody,Samurai,Super Power,Space,Mystery,Game,Seinen,Slice of Life,School,Romance,Supernatural,Vampire,Mecha,Sports,Psychological,Josei,Music,Horror,Police,Martial Arts,Demons,Shoujo,Dementia,Harem,Ecchi,Shounen Ai,Cars,Kids,Shoujo Ai
445,Tokyo Magnitude 8.0,https://myanimelist.net/anime/6211/Tokyo_Magnitude_80,https://cdn.myanimelist.net/r/100x140/images/anime/10/13776.jpg?s=5ddfeb4fb9bd7eaebcff4a60f8ad2d9a,Bones,Original,['Drama'],596,1626,TV,Jul 2009 - Sep 2009,224725,8.07,8949,114506,6987,5471,89353,225266,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,https://cdn.myanimelist.net/r/100x140/images/anime/11/49459.jpg?s=264960859dcbf2911ed838fd4e997ae3,Brain's Base,Light novel,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",71,27796,TV,Apr 2013 - Jun 2013,894881,8.07,38723,668953,15198,12693,161834,897401,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Akatsuki no Yona,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,https://cdn.myanimelist.net/r/100x140/images/anime/9/64225.jpg?s=7858ca7b383d829e0bbe28c5ed4938a3,Studio Pierrot,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']",180,11878,TV,Oct 2014 - Mar 2015,546881,8.07,31412,342474,17708,16997,139419,548010,24,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
448,BanG Dream! 3rd Season,https://myanimelist.net/anime/37870/BanG_Dream_3rd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1985/104767.jpg?s=a0e163e0c3ee85136e20d9ed15490b99,SANZIGEN,Original,['Music'],3693,353,TV,Jan 2020 - Apr 2020,18309,8.07,1616,8204,358,340,7815,18333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
449,Douluo Dalu: Qian Hua Xi Jin,https://myanimelist.net/anime/42497/Douluo_Dalu__Qian_Hua_Xi_Jin,https://cdn.myanimelist.net/r/100x140/images/anime/1829/108562.jpg?s=d996af8d8410550b387d6119aa049fc2,Sparkly Key Animation Studio,Novel,"['Action', 'Adventure', 'Historical', 'Romance', 'Martial Arts', 'Fantasy']",8431,12,ONA,Feb 2020 - May 2020,2169,8.07,144,1563,22,34,420,2183,13,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
450,Eve no Jikan (Movie),https://myanimelist.net/anime/7465/Eve_no_Jikan_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/9/27711.jpg?s=b07b3e3e68019dff0ce4285b6b553679,Studio Rikka,Original,"['Sci-Fi', 'Slice of Life']",1286,592,Movie,Mar 2010 - Mar 2010,103884,8.07,2184,62633,1079,495,37651,104042,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Ginga Eiyuu Densetsu Gaiden (1999),https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999,https://cdn.myanimelist.net/r/100x140/images/anime/6/9580.jpg?s=5a3ed61f4d0c4fbcbd1e0b78f4b71a43,Artland,Novel,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama']",4026,28,OVA,Dec 1999 - Jun 2001,15174,8.07,695,6893,552,235,6825,15200,28,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Hachimitsu to Clover,https://myanimelist.net/anime/16/Hachimitsu_to_Clover,https://cdn.myanimelist.net/r/100x140/images/anime/11/73923.jpg?s=9c6ec7bce462f0631a7cc0ba4f222088,J.C.Staff,Manga,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",657,4034,TV,Apr 2005 - Sep 2005,206512,8.07,11519,79205,11603,10707,93906,206940,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453,High Score Girl: Extra Stage,https://myanimelist.net/anime/38422/High_Score_Girl__Extra_Stage,https://cdn.myanimelist.net/r/100x140/images/anime/1387/98053.jpg?s=1812ba95bcbf6fe3a9aaa795405eddfb,J.C.Staff,Manga,"['Comedy', 'Game', 'Romance', 'School', 'Seinen']",2252,147,OVA,Mar 2019 - Mar 2019,46727,8.07,1003,37816,299,222,7452,46792,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Juuni Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki,https://cdn.myanimelist.net/r/100x140/images/anime/6/50859.jpg?s=bc32bb377cf70e875d64c55f3580acf0,Studio Pierrot,Novel,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Supernatural']",1228,2221,TV,Apr 2002 - Aug 2003,110257,8.07,6774,40868,5731,4753,52341,110467,45,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Kaichou wa Maid-sama!,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,https://cdn.myanimelist.net/r/100x140/images/anime/6/25254.jpg?s=0893bbb8883f21404801a78524d9d8c4,J.C.Staff,Manga,"['Comedy', 'Romance', 'School', 'Shoujo']",87,18976,TV,Apr 2010 - Sep 2010,802746,8.07,37425,608196,21282,22746,115721,805370,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
456,Kyou kara Ore wa!!,https://myanimelist.net/anime/851/Kyou_kara_Ore_wa,https://cdn.myanimelist.net/r/100x140/images/anime/2/43779.jpg?s=267b1cede222ed9edd562f63b9474197,Studio Pierrot,Manga,"['Comedy', 'Shounen']",3415,259,OVA,Dec 1992 - Dec 1997,21573,8.07,1503,8242,969,572,10357,21643,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Lovely★Complex,https://myanimelist.net/anime/2034/Lovely★Complex,https://cdn.myanimelist.net/r/100x140/images/anime/11/75563.jpg?s=5e40cb5ab8820aef2e8077fd21d2f8a5,Toei Animation,Manga,"['Comedy', 'Romance', 'Shoujo']",286,8271,TV,Apr 2007 - Sep 2007,411299,8.07,17134,270123,13555,14230,97202,412244,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
458,Black Lagoon,https://myanimelist.net/anime/889/Black_Lagoon,https://cdn.myanimelist.net/r/100x140/images/anime/4/25596.jpg?s=61461b20b071504c068d916dee9b6f1e,Madhouse,Manga,"['Action', 'Seinen']",126,12799,TV,Apr 2006 - Jun 2006,655170,8.06,29554,410309,21348,13876,182148,657235,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Black Lagoon: Roberta's Blood Trail,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,https://cdn.myanimelist.net/r/100x140/images/anime/8/75529.jpg?s=637b7cc4975961d1d28af250bac6c815,Madhouse,Manga,"['Action', 'Seinen']",683,937,OVA,Jun 2010 - Jun 2011,197720,8.06,6771,145624,3242,1324,41228,198189,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,City Hunter 2,https://myanimelist.net/anime/1471/City_Hunter_2,https://cdn.myanimelist.net/r/100x140/images/anime/7/50523.jpg?s=1df18e4cb46208e245192354ed602c72,Sunrise,Manga,"['Action', 'Comedy', 'Mystery', 'Shounen']",3761,102,TV,Apr 1988 - Jul 1989,17575,8.06,873,10350,521,330,5539,17613,63,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,Code Geass: Hangyaku no Lelouch III - Oudou,https://myanimelist.net/anime/34440/Code_Geass__Hangyaku_no_Lelouch_III_-_Oudou,https://cdn.myanimelist.net/r/100x140/images/anime/1126/91344.jpg?s=94f643e5b959d15943162d44dfc8d2f7,Sunrise,Original,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",1962,135,Movie,May 2018 - May 2018,58303,8.06,1318,26793,540,480,29263,58394,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,D.Gray-man,https://myanimelist.net/anime/1482/DGray-man,https://cdn.myanimelist.net/r/100x140/images/anime/13/75194.jpg?s=f1776964fa2fa9baf0451c7048a0e044,TMS Entertainment,Manga,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Demons', 'Shounen']",179,13774,TV,Oct 2006 - Sep 2008,548820,8.06,52252,250991,52478,40536,153531,549788,103,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
463,Detective Conan Movie 03: The Last Wizard of the Century,https://myanimelist.net/anime/781/Detective_Conan_Movie_03__The_Last_Wizard_of_the_Century,https://cdn.myanimelist.net/r/100x140/images/anime/1831/94317.jpg?s=d2cdad972bcf3470507550fcfbbe4cc0,TMS Entertainment,Manga,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",2220,72,Movie,Apr 1999 - Apr 1999,48127,8.06,478,44186,208,228,3134,48234,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
464,Gintama: Dai Hanseikai,https://myanimelist.net/anime/10643/Gintama__Dai_Hanseikai,https://cdn.myanimelist.net/r/100x140/images/anime/7/29295.jpg?s=e024336a7fa170a173749e155121c970,Sunrise,Manga,"['Action', 'Comedy', 'Parody', 'Samurai']",3007,65,Special,Mar 2010 - Mar 2010,27509,8.06,635,17960,346,283,8338,27562,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Kingdom,https://myanimelist.net/anime/12031/Kingdom,https://cdn.myanimelist.net/r/100x140/images/anime/13/39511.jpg?s=a9d28ccee2630692bcf21debbea46e36,Studio Pierrot,Manga,"['Action', 'Historical', 'Military', 'Seinen']",1076,1029,TV,Jun 2012 - Feb 2013,127709,8.06,8234,52008,4173,6382,57153,127950,38,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,Sakasama no Patema,https://myanimelist.net/anime/12477/Sakasama_no_Patema,https://cdn.myanimelist.net/r/100x140/images/anime/12/52415.jpg?s=f096fedd084d2c27383c1b2efe2096e0,Studio Rikka,Original,"['Adventure', 'Sci-Fi']",652,1176,Movie,Nov 2013 - Nov 2013,207798,8.06,5101,126953,1777,619,73677,208127,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Ookiku Furikabutte: Natsu no Taikai-hen,https://myanimelist.net/anime/7720/Ookiku_Furikabutte__Natsu_no_Taikai-hen,https://cdn.myanimelist.net/r/100x140/images/anime/10/18671.jpg?s=210c0dcf353ed1c92c8cdb879a624d80,A-1 Pictures,Manga,"['Comedy', 'Seinen', 'Sports']",2624,184,TV,Apr 2010 - Jun 2010,35575,8.05,1381,24733,1033,575,7890,35612,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,ReLIFE,https://myanimelist.net/anime/30015/ReLIFE,https://cdn.myanimelist.net/r/100x140/images/anime/3/82149.jpg?s=c66c9b7b88d89b7e0a2a539028857e6a,TMS Entertainment,Web manga,"['Slice of Life', 'Romance', 'School']",125,7019,TV,Jul 2016 - Sep 2016,662445,8.05,31097,466354,14075,13302,138829,663657,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,Slayers Next,https://myanimelist.net/anime/535/Slayers_Next,https://cdn.myanimelist.net/r/100x140/images/anime/1165/92536.jpg?s=8678294865d50523b959da80a1a5f87b,E&G Films,Light novel,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy']",1977,818,TV,Apr 1996 - Sep 1996,57871,8.05,1575,44151,1303,846,10062,57937,26,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
470,Stand By Me Doraemon,https://myanimelist.net/anime/21469/Stand_By_Me_Doraemon,https://cdn.myanimelist.net/r/100x140/images/anime/9/65571.jpg?s=7fb862a0cd06b1316d872598a140a93d,Shirogumi,Manga,"['Comedy', 'Kids', 'Sci-Fi', 'Shounen']",3218,126,Movie,Aug 2014 - Aug 2014,24460,8.05,425,20415,131,208,3381,24560,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
471,Working!!!,https://myanimelist.net/anime/25879/Working,https://cdn.myanimelist.net/r/100x140/images/anime/7/73886.jpg?s=4cade29b6aecedc32aad9073fb60ce81,A-1 Pictures,4-koma manga,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",734,861,TV,Jul 2015 - Sep 2015,185492,8.05,7632,130654,3508,2978,40952,185724,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Detective Conan Movie 04: Captured in Her Eyes,https://myanimelist.net/anime/1363/Detective_Conan_Movie_04__Captured_in_Her_Eyes,https://cdn.myanimelist.net/r/100x140/images/anime/1196/94319.jpg?s=916fab08a95150466626d3d0e4ae3af8,TMS Entertainment,Manga,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",2297,82,Movie,Apr 2000 - Apr 2000,45458,8.05,462,41466,212,222,3181,45543,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
473,ef: A Tale of Melodies.,https://myanimelist.net/anime/4789/ef__A_Tale_of_Melodies,https://cdn.myanimelist.net/r/100x140/images/anime/13/50519.jpg?s=baf591c412d4b061dc385bb0939ec161,Shaft,Visual novel,"['Mystery', 'Supernatural', 'Drama', 'Romance']",971,1700,TV,Oct 2008 - Dec 2008,143627,8.05,4902,74120,4656,3703,56352,143733,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Ginga Nagareboshi Gin,https://myanimelist.net/anime/589/Ginga_Nagareboshi_Gin,https://cdn.myanimelist.net/r/100x140/images/anime/3/47461.jpg?s=711c636b50a75425e45799e2fd679f1d,Toei Animation,Manga,"['Action', 'Adventure', 'Drama', 'Shounen']",3545,722,TV,Apr 1986 - Aug 1986,19984,8.05,681,11213,546,549,7049,20038,21,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Girls & Panzer: Saishuushou Part 2,https://myanimelist.net/anime/38081/Girls___Panzer__Saishuushou_Part_2,https://cdn.myanimelist.net/r/100x140/images/anime/1559/96407.jpg?s=1e7637909605cdacd5b7bb2685fed2d7,Actas,Original,"['Military', 'School']",3881,38,Movie,Jun 2019 - Jun 2019,16428,8.05,419,7690,162,96,8092,16459,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,https://myanimelist.net/anime/39468/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen,https://cdn.myanimelist.net/r/100x140/images/anime/1582/101697.jpg?s=4b8af0b519f8c4e321d88e59f7cfb3e1,Ajia-Do,Light novel,"['Slice of Life', 'Fantasy']",1037,1088,TV,Oct 2019 - Dec 2019,132772,8.05,11252,83952,2452,3672,31700,133028,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Kobayashi-san Chi no Maid Dragon,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon,https://cdn.myanimelist.net/r/100x140/images/anime/5/85434.jpg?s=bc41e1133c7ce9a438d59f3ca53bda82,Kyoto Animation,Manga,"['Slice of Life', 'Comedy', 'Fantasy']",113,11826,TV,Jan 2017 - Apr 2017,704372,8.05,44604,515729,18171,16259,110952,705715,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,Kodomo no Omocha (TV),https://myanimelist.net/anime/1486/Kodomo_no_Omocha_TV,https://cdn.myanimelist.net/r/100x140/images/anime/5/7016.jpg?s=5bb44a640141067f8f05123f71920c51,Gallop,Manga,"['Comedy', 'Drama', 'Romance', 'Shoujo']",2271,1052,TV,Apr 1996 - Mar 1998,46241,8.05,3271,21754,4778,3455,13088,46346,102,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
479,Detective Conan Movie 15: Quarter of Silence,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence,https://cdn.myanimelist.net/r/100x140/images/anime/9/32035.jpg?s=87fab2ff041b633dfc50fe7f8ea1d5bf,TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",2697,31,Movie,Apr 2011 - Apr 2011,33858,8.04,422,29536,202,212,3550,33922,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
480,Durarara!!x2 Shou,https://myanimelist.net/anime/23199/Durararax2_Shou,https://cdn.myanimelist.net/r/100x140/images/anime/12/67743.jpg?s=ba3ad6f98594ed16596e8386eb1d629c,Shuka,Light novel,"['Action', 'Mystery', 'Supernatural']",325,989,TV,Jan 2015 - Mar 2015,369812,8.04,19129,254981,11604,5918,78678,370310,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Fullmetal Alchemist: Brotherhood Specials,https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/1493/91571.jpg?s=8ce29926f4da4d71b56cc6cb5ecd8666,Bones,Manga,"['Military', 'Adventure', 'Drama', 'Magic', 'Fantasy', 'Shounen']",1132,199,Special,Aug 2009 - Aug 2010,121897,8.04,3859,86850,2302,844,28248,122103,4,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,Kamisama Hajimemashita,https://myanimelist.net/anime/14713/Kamisama_Hajimemashita,https://cdn.myanimelist.net/r/100x140/images/anime/3/85429.jpg?s=5011c3f3cbe1ea0ad361a9b1da450469,TMS Entertainment,Manga,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",297,9486,TV,Oct 2012 - Dec 2012,401225,8.04,16768,282635,8361,8649,85765,402178,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
483,Kara no Kyoukai: Mirai Fukuin,https://myanimelist.net/anime/14807/Kara_no_Kyoukai__Mirai_Fukuin,https://cdn.myanimelist.net/r/100x140/images/anime/6/56621.jpg?s=915639e7aaa9ed1c4f9ee079837e263c,ufotable,Light novel,"['Drama', 'Mystery', 'Seinen', 'Supernatural']",1557,198,Movie,Sep 2013 - Sep 2013,81642,8.04,2017,49198,914,349,29306,81784,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,School Rumble Ni Gakki,https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki,https://cdn.myanimelist.net/r/100x140/images/anime/5/75490.jpg?s=a37eb17e4e7e59f40a37e09d8de97dd6,Studio Comet,Manga,"['Comedy', 'Romance', 'School', 'Shounen']",1049,775,TV,Apr 2006 - Sep 2006,131566,8.04,3616,100595,3696,2635,21184,131726,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Osomatsu-san,https://myanimelist.net/anime/31174/Osomatsu-san,https://cdn.myanimelist.net/r/100x140/images/anime/7/76540.jpg?s=3375158dff9042ca42d3e8066c23cb96,Studio Pierrot,Original,"['Comedy', 'Parody']",1027,3532,TV,Oct 2015 - Mar 2016,134367,8.03,13832,57965,10010,11389,41320,134516,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Persona 3 the Movie 4: Winter of Rebirth,https://myanimelist.net/anime/31149/Persona_3_the_Movie_4__Winter_of_Rebirth,https://cdn.myanimelist.net/r/100x140/images/anime/9/77828.jpg?s=2e2583d470f96b58e90bb3b67e7d8b96,A-1 Pictures,Game,"['Action', 'Supernatural', 'Fantasy']",2238,419,Movie,Jan 2016 - Jan 2016,47350,8.03,1115,28859,467,252,16723,47416,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,Touch,https://myanimelist.net/anime/1065/Touch,https://cdn.myanimelist.net/r/100x140/images/anime/3/53087.jpg?s=7f0a8346c7b9e664b1d6d5238aaa63d0,Gallop,Manga,"['Sports', 'Romance', 'School', 'Drama', 'Slice of Life', 'Shounen']",3116,468,TV,Mar 1985 - Mar 1987,25953,8.03,1794,8803,1441,1066,12906,26010,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Wolf's Rain OVA,https://myanimelist.net/anime/1023/Wolfs_Rain_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/3/22397.jpg?s=ba92a6e7e94edf2709d04b49a11a1bac,Bones,Original,"['Sci-Fi', 'Adventure', 'Psychological', 'Supernatural', 'Drama']",2077,340,OVA,Jan 2004 - Feb 2004,53462,8.03,818,39023,616,430,12643,53530,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Aria the OVA: Arietta,https://myanimelist.net/anime/2563/Aria_the_OVA__Arietta,https://cdn.myanimelist.net/r/100x140/images/anime/11/77622.jpg?s=3d563d912940376507f546092913a07f,Hal Film Maker,Manga,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']",2861,71,OVA,Sep 2007 - Sep 2007,30360,8.03,509,18283,459,285,10854,30390,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,FLCL,https://myanimelist.net/anime/227/FLCL,https://cdn.myanimelist.net/r/100x140/images/anime/7/77356.jpg?s=c9119476e792eb37a6f762276259af5c,Gainax,Original,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Dementia', 'Psychological', 'Mecha']",164,22026,OVA,Apr 2000 - Mar 2001,573363,8.03,20055,390503,14459,12661,137342,575020,6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
491,Kakushigoto (TV),https://myanimelist.net/anime/40716/Kakushigoto_TV,https://cdn.myanimelist.net/r/100x140/images/anime/1476/106372.jpg?s=b00620cd54792f7ff22b3e059cc12934,Ajia-Do,Manga,"['Slice of Life', 'Comedy', 'Shounen']",806,1102,TV,Apr 2020 - Jun 2020,171640,8.03,26857,76151,5268,5504,58257,172037,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Kimi ni Todoke,https://myanimelist.net/anime/6045/Kimi_ni_Todoke,https://cdn.myanimelist.net/r/100x140/images/anime/7/17890.jpg?s=8d01aad1183435ee45d3ac691ec835d7,Production I.G,Manga,"['Slice of Life', 'Drama', 'Romance', 'School', 'Shoujo']",146,10136,TV,Oct 2009 - Mar 2010,607378,8.03,34060,386941,23044,20238,144631,608914,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
493,Kimi ni Todoke 2nd Season,https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/8/27174.jpg?s=aefa4cf1f0ec018eea317bd574f4a56c,Production I.G,Manga,"['Slice of Life', 'Drama', 'Romance', 'School', 'Shoujo']",396,1427,TV,Jan 2011 - Mar 2011,314323,8.03,8563,248705,5583,3909,48231,314991,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
